名称,数量,百分比
formdata-node,76,1.71
fast-url-parser,76,1.71
mintlify,76,1.71
object-assign,76,1.71
abortcontroller-polyfill,76,1.71
funding,75,1.69
size-limit,75,1.69
tailwind-merge,75,1.69
@types/turndown,74,1.67
@types/lodash,74,1.67
@types/jsdom,73,1.65
codecov,73,1.65
@types/fs-extra,73,1.65
@size-limit/preset-small-lib,73,1.65
@babel/cli,73,1.65
@vitejs/plugin-react,73,1.65
sharp,72,1.62
karma-sinon,72,1.62
router,72,1.62
has-proto,72,1.62
./index.mjs,72,1.62
index.mjs,72,1.62
module,71,1.60
has-bigints,71,1.60
dts-bundle-generator,71,1.60
babel-core,71,1.60
class-variance-authority,71,1.60
karma-firefox-launcher,71,1.60
dependencies,70,1.58
./package.json,70,1.58
@express-rate-limit/prettier,70,1.58
ratelimit-header-parser,70,1.58
@express-rate-limit/tsconfig,70,1.58
is-promise,70,1.58
gulp,70,1.58
mysql2,70,1.58
expect,69,1.56
@types/cross-spawn,69,1.56
recheck,69,1.56
handlebars,69,1.56
@borderless/ts-scripts,69,1.56
@microsoft/api-extractor,69,1.56
ts-node-dev,68,1.53
diverge,68,1.53
forbeslindesay,68,1.53
run-series,68,1.53
4.0.0,68,1.53
ai,67,1.51
multer,67,1.51
tap-spec,67,1.51
eslint-plugin-react-hooks,67,1.51
@rollup/plugin-babel,66,1.49
@rollup/plugin-json,66,1.49
@radix-ui/react-slot,65,1.47
directory,64,1.44
formidable,63,1.42
yaml,63,1.42
karma-safari-launcher,63,1.42
phantomjs-prebuilt,62,1.40
fake,62,1.40
pino,61,1.38
asynckit,61,1.38
size-table,61,1.38
combined-stream,61,1.38
obake,61,1.38
pkgfiles,61,1.38
far,61,1.38
reamde,61,1.38
delayed-stream,61,1.38
browserify-istanbul,61,1.38
is-node-modern,61,1.38
@release-it/conventional-changelog,61,1.38
tailwindcss-animate,60,1.35
1.0.0,59,1.33
isexe,59,1.33
@playwright/test,59,1.33
@ai-sdk/openai,58,1.31
@babel/plugin-transform-modules-commonjs,58,1.31
eslint-config-moxy,58,1.31
@types/minimatch,58,1.31
concat-stream,58,1.31
shebang-command,57,1.29
path-key,57,1.29
shebang-regex,57,1.29
6.20.0,57,1.29
hono,57,1.29
es6-promise,57,1.29
babel-cli,56,1.26
babel-preset-moxy,56,1.26
utils-merge,56,1.26
proxyquire,56,1.26
methods,56,1.26
eslint-config-next,56,1.26
@google-cloud/local-auth,56,1.26
date-fns,55,1.24
rxjs,55,1.24
@vitest/ui,54,1.22
strip-ansi,54,1.22
rollup-plugin-babel,54,1.22
watch,54,1.22
build,54,1.22
sqlite3,54,1.22
jshint,54,1.22
make-node,54,1.22
lru-cache,54,1.22
grunt,54,1.22
@semantic-release/git,54,1.22
babel-loader,53,1.20
lolex,53,1.20
acorn,53,1.20
@types/mime-types,53,1.20
@types/axios,53,1.20
@cloudflare/workers-types,53,1.20
@types/dotenv,52,1.17
color-convert,52,1.17
tmp,52,1.17
@babel/register,52,1.17
eslint-plugin-react,52,1.17
coffeescript,52,1.17
jasmine-core,52,1.17
karma-jasmine,52,1.17
memfs,51,1.15
@types/body-parser,51,1.15
grunt-cli,51,1.15
terser-webpack-plugin,51,1.15
sideeffects,51,1.15
mime,50,1.13
@types/debug,50,1.13
abort-controller,50,1.13
destroy,50,1.13
email,50,1.13
universal-user-agent,50,1.13
dtslint,50,1.13
karma-rollup-preprocessor,50,1.13
eslint-plugin-jest,49,1.11
babel-preset-env,49,1.11
babel-register,49,1.11
dist,49,1.11
grunt-contrib-uglify,49,1.11
bin,49,1.11
chai-as-promised,49,1.11
pretty-bytes,49,1.11
proxy-from-env,49,1.11
@rollup/plugin-alias,49,1.11
@semantic-release/changelog,49,1.11
@google/generative-ai,48,1.08
sinon-chai,48,1.08
lerna,48,1.08
memoizee,48,1.08
temp,48,1.08
http-server,48,1.08
istanbul-instrumenter-loader,48,1.08
follow-redirects,48,1.08
karma-jasmine-ajax,48,1.08
color,48,1.08
jsonwebtoken,48,1.08
graphql,47,1.06
colors,47,1.06
rollup-plugin-node-resolve,47,1.06
react-markdown,47,1.06
@types/glob,47,1.06
agents,47,1.06
gzip-size,47,1.06
rollup-plugin-bundle-size,47,1.06
@rollup/plugin-multi-entry,47,1.06
string-replace-async,47,1.06
stream-throttle,47,1.06
gts,47,1.06
json5,46,1.04
babel-eslint,46,1.04
eslint-import-resolver-typescript,46,1.04
string-width,46,1.04
grunt-contrib-watch,46,1.04
dev-null,46,1.04
rollup-plugin-auto-external,46,1.04
esm,46,1.04
standardx,46,1.04
balanced-match,45,1.02
karma-webpack,45,1.02
brace-expansion,45,1.02
nock,45,1.02
color-keyword,45,1.02
1.1.4,45,1.02
@babel/eslint-parser,45,1.02
wrap-ansi,45,1.02
keyword,45,1.02
color-name,45,1.02
concat-map,44,0.99
karma-mocha-reporter,44,0.99
source-map,44,0.99
rollup-plugin-ts,44,0.99
yargs-parser,44,0.99
@rollup/plugin-terser,44,0.99
serve,44,0.99
devdependencies,43,0.97
shelljs,43,0.97
micromatch,43,0.97
uvu,43,0.97
emoji-regex,43,0.97
ethers,43,0.97
pino-pretty,42,0.95
isc,42,0.95
jquery,42,0.95
react-test-renderer,42,0.95
grunt-mocha-test,42,0.95
webpack-cli,42,0.95
ansi-regex,42,0.95
start-server-and-test,42,0.95
regexgen,42,0.95
terser,42,0.95
has-ansi,42,0.95
svg-term-cli,42,0.95
ansi-styles,42,0.95
@langchain/core,41,0.92
better-sqlite3,41,0.92
polyfill,41,0.92
eslint-config-gulp,41,0.92
inquirer,41,0.92
nanoid,41,0.92
@rollup/plugin-replace,41,0.92
@babel/plugin-proposal-unicode-property-regex,41,0.92
@types/color-convert,41,0.92
tsd-check,41,0.92
unicode-12.0.0,41,0.92
clean,41,0.92
is-fullwidth-code-point,41,0.92
tshy,40,0.90
typescriptversion,40,0.90
typespublishercontenthash,40,0.90
dayjs,40,0.90
yarn,40,0.90
tsconfig,40,0.90
@supabase/supabase-js,40,0.90
bundt,40,0.90
cliui,40,0.90
tsc-alias,40,0.90
helmet,39,0.88
google-auth-library,39,0.88
typescript-json-schema,39,0.88
postbuild,39,0.88
eslint-config-airbnb-base,39,0.88
resolve,39,0.88
openapi-types,39,0.88
fast-deep-equal,39,0.88
webpack-dev-server,39,0.88
@jridgewell/trace-mapping,39,0.88
@jridgewell/resolve-uri-latest,39,0.88
@jridgewell/sourcemap-codec,39,0.88
@jridgewell/resolve-uri,39,0.88
cpr,39,0.88
get-caller-file,39,0.88
chai-string,39,0.88
hashish,39,0.88
ensure-posix-path,39,0.88
ts-transform-default-export,39,0.88
support,39,0.88
chai-iterator,39,0.88
@types/ensure-posix-path,39,0.88
escalade,39,0.88
y18n,39,0.88
@wessberg/rollup-plugin-ts,39,0.88
yargs-test-extends,39,0.88
github,39,0.88
vite-tsconfig-paths,38,0.86
shim,38,0.86
ponyfill,38,0.86
6.19.8,38,0.86
githubusername,38,0.86
fast-json-stable-stringify,38,0.86
fast-check,38,0.86
@radix-ui/react-dialog,38,0.86
@tsconfig/node14,38,0.86
web,38,0.86
eslint-plugin-react-refresh,38,0.86
rollup-plugin-cleanup,38,0.86
require-directory,38,0.86
@linear/sdk,37,0.83
redis,37,0.83
msw,37,0.83
file,37,0.83
tick,37,0.83
realpath,37,0.83
fs.realpath,37,0.83
inflight,37,0.83
object-keys,37,0.83
path-is-absolute,37,0.83
old.js,37,0.83
punycode,37,0.83
dist/acorn.d.ts,37,0.83
bin/acorn,37,0.83
dist/acorn.mjs,37,0.83
dist/acorn.js,37,0.83
grunt-contrib-clean,37,0.83
prepare,37,0.83
maintainers,37,0.83
acorn-walk,37,0.83
workers-mcp,37,0.83
@semantic-release/github,37,0.83
decache,37,0.83
@my-scope/package-a,36,0.81
core,36,0.81
livescript,36,0.81
parse,36,0.81
utils,36,0.81
built-in,36,0.81
path-parse,36,0.81
paths,36,0.81
dir,36,0.81
array.prototype.map,36,0.81
1.0.7,36,0.81
@my-scope/package-b,36,0.81
json-stable-stringify,36,0.81
react-router-dom,36,0.81
@radix-ui/react-dropdown-menu,36,0.81
source-map-js,36,0.81
arg,36,0.81
mcp-evals,36,0.81
schema,36,0.81
@langchain/openai,35,0.79
@smithery/cli,35,0.79
fast-stable-stringify,35,0.79
karma-phantomjs-launcher,35,0.79
faster-stable-stringify,35,0.79
@radix-ui/react-label,35,0.79
@radix-ui/react-tooltip,35,0.79
sourcemap-codec,35,0.79
grunt-eslint,35,0.79
grunt-webpack,35,0.79
grunt-karma,35,0.79
make-error,35,0.79
grunt-contrib-copy,35,0.79
ignore,35,0.79
jasmine,35,0.79
sourcedialects,35,0.79
./v4,35,0.79
./v4-mini,35,0.79
./v3,35,0.79
inference,35,0.79
@zod/source,35,0.79
npm-funding,35,0.79
backing,35,0.79
validation,35,0.79
@types/tap,35,0.79
graphql-request,34,0.77
supports-preserve-symlinks-flag,34,0.77
mv,34,0.77
is-core-module,34,0.77
copy-dir,34,0.77
4.5,34,0.77
js-beautify,34,0.77
next-themes,34,0.77
outdent,34,0.77
@types/rimraf,34,0.77
flow-parser,34,0.77
proper-lockfile,34,0.77
if-node-version,33,0.74
json-schema-test,33,0.74
dot,33,0.74
@radix-ui/react-select,33,0.74
turbo,33,0.74
grunt-babel,33,0.74
@types/proper-lockfile,33,0.74
v8-compile-cache-lib,33,0.74
@cspotcode/source-map-support,33,0.74
1.0.4,33,0.74
@types/proxyquire,33,0.74
grunt-exec,33,0.74
yn,33,0.74
grunt-mocha-istanbul,33,0.74
create-require,33,0.74
es-set-tostringtag,33,0.74
@types/has-symbols,33,0.74
langchain,33,0.74
bufferutil,33,0.74
@testing-library/jest-dom,32,0.72
got,32,0.72
uri-js,32,0.72
json-schema-traverse,32,0.72
karma-chai,32,0.72
remark-gfm,32,0.72
@yarnpkg/fslib,32,0.72
esbuild-node-loader,32,0.72
@tsconfig/node12,32,0.72
nodemailer,32,0.72
mongodb,32,0.72
@rollup/plugin-inject,32,0.72
utf-8-validate,32,0.72
@types/babel__core,32,0.72
gh-pages-generator,31,0.70
require-globify,31,0.70
runmd,31,0.70
@radix-ui/react-tabs,31,0.70
mcp-framework,31,0.70
grunt-clean,31,0.70
@tsconfig/node16,31,0.70
bases,31,0.70
1.0.11,31,0.70
ntypescript,31,0.70
node10,31,0.70
node16,31,0.70
@swc/wasm,31,0.70
node12,31,0.70
util.promisify,31,0.70
@tsconfig/node10,31,0.70
throat,31,0.70
node14,31,0.70
1.0.3,31,0.70
@nuxtjs/eslint-config,31,0.70
@semantic-release/npm,31,0.70
web-streams-polyfill,31,0.70
6.21.0,31,0.70
@smithery/sdk,30,0.68
babel,30,0.68
browser,30,0.68
babel-preset-latest,30,0.68
mocha-qunit-ui,30,0.68
babel-plugin-external-helpers,30,0.68
ajv-async,30,0.68
eslint-plugin-jsdoc,30,0.68
sorcery,30,0.68
@types/better-sqlite3,30,0.68
picocolors,30,0.68
@radix-ui/react-scroll-area,30,0.68
mime-score,30,0.68
tslint,30,0.68
wpt-runner,30,0.68
node-domexception,30,0.68
@rollup/plugin-strip,30,0.68
@ungap/promise-all-settled,30,0.68
recursive-readdir,30,0.68
bun-types,29,0.65
simple-git,29,0.65
@radix-ui/react-separator,29,0.65
puppeteer-core,29,0.65
github-release-notes,29,0.65
@modelcontextprotocol/server-filesystem,29,0.65
https-proxy-agent,29,0.65
downlevel-dts,29,0.65
import-fresh,29,0.65
busboy,29,0.65
neostandard,29,0.65
data-uri-to-buffer,29,0.65
viem,29,0.65
@google/genai,28,0.63
babel-plugin-istanbul,28,0.63
istanbul-coveralls,28,0.63
mustache,28,0.63
@tailwindcss/postcss,28,0.63
array-flatten,28,0.63
@modelcontextprotocol/server-memory,28,0.63
@types/combined-stream,28,0.63
p-limit,28,0.63
exclude,28,0.63
p-timeout,28,0.63
formdata-polyfill,28,0.63
v4-mini,28,0.63
fetch-blob,28,0.63
tsc-watch,28,0.63
@testing-library/react,28,0.63
@radix-ui/react-popover,28,0.63
node-cache,27,0.61
shelljs-changelog,27,0.61
travis-check-changes,27,0.61
require-uncached,27,0.61
parse-node-version,27,0.61
require-ini,27,0.61
interpret,27,0.61
require-xml,27,0.61
rechoir,27,0.61
toml-require,27,0.61
require-yaml,27,0.61
earlgrey,27,0.61
coco,27,0.61
iced-coffee-script,27,0.61
node-jsx,27,0.61
karma-coverage,27,0.61
require-csv,27,0.61
trash-cli,27,0.61
typescript-register,27,0.61
shelljs-release,27,0.61
type-fest,27,0.61
@solana/web3.js,27,0.61
stream-consumers,27,0.61
bundlewatch,27,0.61
@azure/identity,27,0.61
@radix-ui/react-icons,27,0.61
json-diff,26,0.59
xml2js,26,0.59
@tanstack/react-query,26,0.59
@radix-ui/react-checkbox,26,0.59
@modelcontextprotocol/server-sequential-thinking,26,0.59
@modelcontextprotocol/server-everything,26,0.59
@aws-sdk/client-bedrock-agent-runtime,26,0.59
@cloudflare/workers-oauth-provider,26,0.59
gh-pages,26,0.59
airtap,26,0.59
@npmcli/template-oss,26,0.59
@types/jsonwebtoken,26,0.59
fuse.js,26,0.59
@types/nodemailer,26,0.59
tsconfig-paths,25,0.56
framer-motion,25,0.56
react-hook-form,25,0.56
sonner,25,0.56
cross-fetch,25,0.56
everart,25,0.56
@modelcontextprotocol/server-brave-search,25,0.56
@modelcontextprotocol/server-puppeteer,25,0.56
ansi,25,0.56
supports-color,25,0.56
gulp-format-md,25,0.56
ansi-colors,25,0.56
shelljs-plugin-open,24,0.54
tempy,24,0.54
esprima,24,0.54
fast-glob,24,0.54
@types/qs,24,0.54
@modelcontextprotocol/server-postgres,24,0.54
@modelcontextprotocol/server-slack,24,0.54
@modelcontextprotocol/server-gdrive,24,0.54
@modelcontextprotocol/server-everart,24,0.54
bun,24,0.54
@ai-sdk/google,24,0.54
ts-loader,24,0.54
babel-polyfill,24,0.54
eslint-plugin-jsx-a11y,24,0.54
@radix-ui/react-accordion,24,0.54
@types/cheerio,23,0.52
eslint-plugin-n,23,0.52
@sinonjs/fake-timers,23,0.52
cz-conventional-changelog,23,0.52
bendingbender,23,0.52
markdown-it,23,0.52
zustand,23,0.52
@hookform/resolvers,23,0.52
@hono/node-server,23,0.52
peerdependencies,23,0.52
ora,23,0.52
typedoc-plugin-markdown,23,0.52
bs58,23,0.52
crypto-js,23,0.52
google-closure-compiler,23,0.52
@types/google-closure-compiler,23,0.52
find-up,23,0.52
vue,23,0.52
tiktoken,23,0.52
karma-ie-launcher,23,0.52
@mozilla/readability,22,0.50
@radix-ui/react-switch,22,0.50
@radix-ui/react-avatar,22,0.50
react-syntax-highlighter,22,0.50
@tailwindcss/vite,22,0.50
doctoc,22,0.50
text-table,22,0.50
jiti,22,0.50
archiver,22,0.50
recast,22,0.50
@types/eslint,22,0.50
publishconfig,22,0.50
regenerate,22,0.50
@babel/parser,22,0.50
through2,22,0.50
cmdk,22,0.50
@radix-ui/react-toast,22,0.50
jest-environment-node,22,0.50
@tsconfig/node22,22,0.50
@radix-ui/react-alert-dialog,21,0.47
vitepress,21,0.47
prompts,21,0.47
twitter-api-v2,21,0.47
grunt-contrib-jshint,21,0.47
codemirror,21,0.47
octokit,21,0.47
signal-exit,21,0.47
@npmcli/eslint-config,21,0.47
8.14.1,21,0.47
picomatch,21,0.47
eslint-plugin-perfectionist,21,0.47
log-update,20,0.45
@radix-ui/react-collapsible,20,0.45
react-resizable-panels,20,0.45
@types/inquirer,20,0.45
@changesets/changelog-github,20,0.45
rollup-plugin-dts,20,0.45
@cloudflare/vitest-pool-workers,20,0.45
release-please,20,0.45
javascript,20,0.45
public,20,0.45
access,20,0.45
icon,20,0.45
has-flag,20,0.45
@microsoft/microsoft-graph-client,20,0.45
sqlstring,20,0.45
@sentry/node,20,0.45
@babel/types,20,0.45
babel-minify,20,0.45
codecov.io,20,0.45
fill-range,20,0.45
time-require,20,0.45
@ai-sdk/anthropic,20,0.45
@types/vscode,20,0.45
@langchain/langgraph,19,0.43
@mdx-js/react,19,0.43
src,19,0.43
lint,19,0.43
@types/sqlite3,19,0.43
@types/mustache,19,0.43
remeda,19,0.43
@emotion/react,19,0.43
supergateway,19,0.43
swr,19,0.43
jose,19,0.43
mcp-proxy,19,0.43
@types/react-syntax-highlighter,19,0.43
jest-mock-extended,19,0.43
jest-environment-jsdom,19,0.43
readme.md,19,0.43
typings,19,0.43
lodash/lodash,19,0.43
promise,19,0.43
resolve-from,19,0.43
@aws-sdk/client-s3,19,0.43
clock-mock,19,0.43
everything.js,19,0.43
karma-edge-launcher,19,0.43
to-regex-range,19,0.43
braces,19,0.43
time-diff,19,0.43
is-number,19,0.43
bash-path,19,0.43
ansi-escapes,19,0.43
@docusaurus/core,18,0.41
@docusaurus/preset-classic,18,0.41
@xenova/transformers,18,0.41
@babel/plugin-proposal-object-rest-spread,18,0.41
delay,18,0.41
eslint-plugin-unicorn,18,0.41
@sindresorhus/tsconfig,18,0.41
del,18,0.41
mermaid,18,0.41
@types/redis,18,0.41
gray-matter,18,0.41
env-paths,18,0.41
@solana/spl-token,18,0.41
replicate,18,0.41
dotenv-cli,18,0.41
argparse,18,0.41
escape-string-regexp,18,0.41
jsdoc,18,0.41
time-span,18,0.41
in-range,18,0.41
@qdrant/js-client-rest,18,0.41
@notionhq/client,18,0.41
stripe,18,0.41
@stylistic/eslint-plugin,18,0.41
rollup-plugin-commonjs,18,0.41
whatwg-url,18,0.41
assert,18,0.41
graceful-fs,18,0.41
@eslint/markdown,18,0.41
eslint-plugin-filenames,18,0.41
escomplex-js,18,0.41
resend,18,0.41
@eslint/compat,18,0.41
@semantic-release/release-notes-generator,18,0.41
@langchain/community,18,0.41
simple-git-hooks,18,0.41
copyfiles,18,0.41
mock-fs,18,0.41
prism-react-renderer,17,0.38
luxon,17,0.38
tinybench,17,0.38
pify,17,0.38
json-schema,17,0.38
snazzy,17,0.38
proxy,17,0.38
@types/lodash-es,17,0.38
lodash-es,17,0.38
@vitest/coverage-istanbul,17,0.38
get-port,17,0.38
highlight.js,17,0.38
@types/prettier,17,0.38
natural,17,0.38
prettier-plugin-organize-imports,17,0.38
@types/crypto-js,17,0.38
@types/micromatch,17,0.38
path-exists,17,0.38
is-extglob,17,0.38
is-glob,17,0.38
glob-parent,17,0.38
hash,17,0.38
swagger-ui-express,17,0.38
react-native,17,0.38
@types/yargs-parser,17,0.38
webidl-conversions,17,0.38
tr46,17,0.38
@testing-library/user-event,17,0.38
error-stack-parser,17,0.38
lru.min,17,0.38
portfinder,17,0.38
node-tick-processor,17,0.38
sprintf-js,17,0.38
typescript-formatter,17,0.38
karma-detect-browsers,17,0.38
unicode-8.0.0,17,0.38
karma-safaritechpreview-launcher,17,0.38
prettier-plugin-packagejson,17,0.38
@tailwindcss/typography,17,0.38
@libsql/client,17,0.38
winston-daily-rotate-file,17,0.38
